TimeStamp,ActivePower,WindSpeed,BearingShaftTemperature,GearboxBearingTemperature,GearboxOilTemperature,GeneratorWinding1Temperature,GeneratorWinding2Temperature,RotorRPM,GeneratorRPM,kmeans_2_cluster,kmeans_3_cluster
2018-01-01 00:00:00,0.0,2.0976767710186945,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 01:00:00,0.0,1.954781014936228,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 02:00:00,0.0,1.7046209076066716,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 03:00:00,0.0,1.9130033690626451,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 04:00:00,0.0,2.1805396304395765,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 05:00:00,0.0,2.343374281579668,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 06:00:00,109.0249697741107,3.120048915451704,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 07:00:00,0.0,2.531643097034433,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 08:00:00,0.0,2.6844075513710255,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 09:00:00,405.9752077784839,2.741240668957077,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 10:00:00,1.173266808287961,2.884171271775164,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 11:00:00,392.6332311701983,3.1366384910725222,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 12:00:00,832.7670167092245,4.02981642522126,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 13:00:00,1633.191538511156,4.92017077954543,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 14:00:00,1356.313558375401,4.808284192467307,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 15:00:00,1504.618543647962,4.757787435126789,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 16:00:00,3376.438290759316,6.113161309480333,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 17:00:00,4443.7558150786435,6.702104855002628,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 18:00:00,2706.03489920102,5.7236135503204855,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 19:00:00,930.3102418790036,4.312732327068818,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 20:00:00,855.9900886241178,4.26407117378416,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 21:00:00,3901.031496142094,6.544658172810194,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 22:00:00,3162.1810332920663,6.125197161383824,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-01 23:00:00,3105.5437292297984,6.146608651522125,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,2
2018-01-02 00:00:00,681.2564948180114,3.9331585749187448,39.504192810535834,62.29833237722067,55.51145516559657,60.27615606412369,59.58943012496891,9.407116352058527,1049.117656321132,0,2
2018-01-02 01:00:00,0.0,2.7876258688523166,39.504192810535834,62.29833237722067,55.51145516559657,60.27615606412369,59.58943012496891,9.407116352058527,1049.117656321132,0,2
2018-01-02 02:00:00,359.9490953042093,2.729505663537502,39.504192810535834,62.29833237722067,55.51145516559657,60.27615606412369,59.58943012496891,9.407116352058527,1049.117656321132,0,2
2018-01-02 03:00:00,0.0,2.2605777986109317,39.504192810535834,62.29833237722067,55.51145516559657,60.27615606412369,59.58943012496891,9.407116352058527,1049.117656321132,0,2
2018-01-02 04:00:00,73.01538671266272,2.8300526463149613,39.504192810535834,62.29833237722067,55.51145516559657,60.27615606412369,59.58943012496891,9.407116352058527,1049.117656321132,0,2
2018-01-02 05:00:00,738.6707116981873,3.9031333446168848,39.504192810535834,62.29833237722067,55.51145516559657,60.27615606412369,59.58943012496891,9.407116352058527,1049.117656321132,0,2
