TimeStamp,ActivePower,WindSpeed,BearingShaftTemperature,GearboxBearingTemperature,GearboxOilTemperature,GeneratorWinding1Temperature,GeneratorWinding2Temperature,RotorRPM,GeneratorRPM,kmeans_2_cluster,HighPowerProd,PC1,PC2,Month,PowerLevel
2018-01-01,1196.5409552908702,3.9058480001682816,40.644303830193806,64.71860483776656,56.39309502963996,63.52290408538756,62.81667348021247,10.779639194803034,1202.3137496673635,0,False,0.7930560232262661,0.1891922264754516,1,low
2018-01-02,2046.1546670792093,4.686949625464551,39.504192810535834,62.29833237722067,55.51145516559657,60.27615606412369,59.58943012496891,9.407116352058527,1049.117656321132,0,False,1.4035163069619576,0.5033656880926999,1,medium-low
2018-01-03,1904.425881168546,4.524845556863249,38.80327373033644,59.828787233630656,54.33205239834408,56.190833424364165,55.534319947826596,7.81200083119153,868.1963014848684,0,False,2.249853321574086,0.424870667191761,1,medium-low
2018-01-04,2175.4191078250747,5.064021235494114,39.10809540199596,60.32365760532152,53.990959637562376,57.76216734345035,57.18808511538399,8.544591776961845,947.2405984485749,0,False,1.9005693085240265,0.6391872904533809,1,medium-low
2018-01-05,1580.881587092272,4.500955703955534,40.652918900445876,64.13402486414476,56.045706983580835,65.8151435165806,65.18568754333707,10.599428131062176,1178.0025512621492,0,False,0.7024916025567923,0.33115433300532987,1,low
2018-01-06,3064.645739326065,5.7476072185709155,40.256119760680804,64.13710394480971,56.4728784558952,64.65131838900749,63.96366099568596,10.710516138767046,1194.5122236896757,0,False,0.5069855081067033,0.8029334124286851,1,medium-high
2018-01-07,2735.7911125411433,5.525998870720952,39.608998871185946,61.74787240066983,54.730993168969086,61.829348182132414,61.153183041170905,10.069041383180098,1122.9973764635474,0,False,1.1272198797011221,0.8610323555100801,1,medium-low
2018-01-08,4472.200690525177,6.428425443351299,39.645390048507274,59.840639833413825,53.73777313201597,58.595361069078784,57.917377696921825,9.009541500018386,1000.444276702011,0,False,1.5244298538310206,1.0262833179759834,1,medium-high
2018-01-09,3047.064695234003,5.637519475785734,40.29950540547166,59.94005609460319,53.47267859403318,62.641362002909695,61.958606879042215,8.565410910031721,955.6202254148207,0,False,1.5550596446690794,0.5629815214068227,1,medium-high
2018-01-10,2651.3284722760945,5.381324893354009,42.64987017506403,67.13256604240512,57.93913943330245,71.05757552647621,70.42877259866334,11.566135110886492,1289.0047726012563,0,False,-0.3709309346100655,0.22899599362061174,1,medium-low
2018-01-11,2500.8950202081414,5.233313769561094,40.22332040792045,63.120110728026496,55.85527424121625,61.48781350910267,60.841792881019636,9.933937787779769,1107.8999979651635,0,False,1.0038865321676635,0.5831335564298495,1,medium-low
2018-01-12,1186.4507954246203,4.10956351327271,39.768830597023765,62.023154441623866,55.611116472604316,62.5343638412924,61.842054774897086,9.697487895018147,1081.864190690683,0,False,1.3307205270365567,0.3023855804110453,1,low
2018-01-13,1969.6991754240607,4.713278402923795,39.87272377875084,60.447211082869806,53.573181869346286,62.17443248654293,61.55918811555281,8.821780136523062,983.1502319843634,0,False,1.676670750461708,0.4062069679037672,1,medium-low
2018-01-14,2921.2803597142847,5.416388434766335,41.518695242083744,65.2318428002989,56.814512753335435,67.69829598408612,67.01224859071802,10.96017003977564,1222.3448553766234,0,False,0.18721211409129235,0.44739408401405734,1,medium-high
2018-01-15,1902.8043724877582,4.797320004540089,40.373025713487294,62.01666313711521,54.49484071756978,64.05511811716043,63.384920222285785,9.596647269142574,1063.7308333344663,0,False,1.2152971087309543,0.395308251378333,1,medium-low
2018-01-16,2811.1864284060844,5.490264847214715,39.400687587255476,60.100838270940194,54.239764504185,59.01177940709789,58.31362125644025,8.873024122015048,989.9512557719894,0,False,1.665209115857435,0.7498702733009717,1,medium-high
2018-01-17,2471.206692036933,5.024387537462801,39.95159498382332,61.3747187075719,54.41225744902456,62.31198347747261,61.66694907734492,8.99198023893834,1003.5335937753503,0,False,1.454690439737244,0.4767443677032129,1,medium-low
2018-01-18,2863.811385321674,5.733021671090037,41.127863294780646,63.18725414677993,55.30575825694444,64.85735951655093,64.19014094665316,10.362356848936782,1154.6290190434413,0,False,0.6463785298447757,0.6133075765240027,1,medium-high
2018-01-19,2454.182030078314,5.13828090821676,40.8476590147767,62.50453244253598,55.57285072938097,62.47949609053597,61.81903550265907,9.310162918806514,1038.3894933048512,0,False,1.1238777349791527,0.33470202211357036,1,medium-low
2018-01-20,1413.6866914998552,4.438709787946446,41.08976696699964,62.41307054214885,55.44521377051294,66.23820005453851,65.6278699081469,9.544620527306632,1058.5962003824864,0,False,1.0410386740776931,0.08153299104087124,1,low
2018-01-21,2898.527243900838,5.255873235673783,42.37608282616393,65.608510809142,57.2050143815432,72.4789446061339,71.83766226351733,11.378518719117501,1246.696017500066,0,False,-0.17524910671749028,0.22282002216688623,1,medium-high
2018-01-22,2222.8185114836847,4.9380595367096936,41.267764882691715,62.99652852464481,55.26335324937852,67.50493039907929,66.90589063609099,10.339378676576311,1153.281958462484,0,False,0.6829655883111441,0.32214659179474125,1,medium-low
2018-01-23,1758.7913630491066,4.522460731826012,40.46407868297596,61.947124694934494,54.69481149716065,61.33635904093324,60.73061819396573,9.392299961840841,1046.7372600368128,0,False,1.3893322679998412,0.2814912679369162,1,low
2018-01-24,1514.6129433358237,4.146585843025952,40.944834456607595,62.078966309010646,55.44857423065767,65.06982485205484,64.44374820026005,9.316432682278364,1039.1770679901776,0,False,1.2147547278789483,0.0014392893739692924,1,low
